Feature,Importance
MonthlyIncome,0.07771174029996855
Age,0.06842801362218184
TotalWorkingYears,0.06511208084696833
DailyRate,0.05807130997552019
HourlyRate,0.05251500055239821
MonthlyRate,0.0517994701088591
DistanceFromHome,0.04908730197655792
YearsAtCompany,0.04507070757138953
OverTime,0.041150594536650494
NumCompaniesWorked,0.037285252223867714
YearsWithCurrManager,0.037141487554862
PercentSalaryHike,0.03641248681885025
JobRole,0.03505221212614775
WorkLifeBalance,0.028548280443374745
StockOptionLevel,0.028439230728517614
YearsInCurrentRole,0.028135604114351155
YearsSinceLastPromotion,0.025084784459555688
TrainingTimesLastYear,0.024970376831300527
EnvironmentSatisfaction,0.023619454977383846
JobSatisfaction,0.022356389019476886
MaritalStatus,0.022189462318304872
EducationField,0.02200544344559435
RelationshipSatisfaction,0.021554112313291567
JobLevel,0.02134204160036016
Education,0.01883067809385023
JobInvolvement,0.015988143448543168
BusinessTravel,0.013218324616380015
Department,0.012724195426436515
Gender,0.010257215048747664
PerformanceRating,0.005898604900309206
